name,time,records,calculations
PyOpenCl GPU,0:00:00.219939,40000000,100
PyOpenCl GPU,0:00:00.220400,40000000,30
PyOpenCl GPU,0:00:00.024468,4000000,100
PyOpenCl GPU,0:00:00.026433,4000000,30
PyOpenCl cpu,0:00:01.530434,400000000,10
PyOpenCl cpu,0:00:05.296084,40000000,100
PyOpenCl cpu,0:00:01.615554,40000000,30
PyOpenCl cpu,0:00:00.531368,4000000,100
PyOpenCl cpu,0:00:00.166963,4000000,30
PyPy Numpy,0:01:44.126980,40000000,100
PyPy Numpy,0:00:33.784029,40000000,30
PyPy Numpy,0:00:10.204239,4000000,100
PyPy Numpy,0:00:03.382781,4000000,30
